,,,,,,
ZIP Code,City,County,Type,,,
ZIP Code 84407,Ogden,Weber,Unique,,,
ZIP Code 84408,Ogden,Weber,Unique,,,
ZIP Code 84409,Ogden,Weber,P.O. Box,,,
ZIP Code 84412,Ogden,Weber,P.O. Box,,,
ZIP Code 84414,Ogden,Weber,Standard,,,
ZIP Code 84415,Ogden,Weber,P.O. Box,,,
ZIP Code 84501,Price,Carbon,Standard,,,
ZIP Code 84510,Aneth,San Juan,P.O. Box,,,
ZIP Code 84511,Blanding,San Juan,Standard,,,
ZIP Code 84512,Bluff,San Juan,P.O. Box,,,
ZIP Code 84513,Castle Dale,Emery,P.O. Box,,,
ZIP Code 84515,Cisco,Grand,Standard,,,
ZIP Code 84516,Clawson,Emery,P.O. Box,,,
ZIP Code 84518,Cleveland,Emery,P.O. Box,,,
ZIP Code 84520,East Carbon,Carbon,Standard,,,
ZIP Code 84521,Elmo,Emery,Standard,,,
ZIP Code 84522,Emery,Emery,P.O. Box,,,
ZIP Code 84523,Ferron,Emery,P.O. Box,,,
ZIP Code 84525,Green River,Emery,Standard,,,
ZIP Code 84526,Helper,Carbon,Standard,,,
ZIP Code 84528,Huntington,Emery,P.O. Box,,,
ZIP Code 84529,Kenilworth,Carbon,Standard,,,
ZIP Code 84530,La Sal,San Juan,P.O. Box,,,
ZIP Code 84531,Mexican Hat,San Juan,P.O. Box,,,
ZIP Code 84532,Moab,Grand,Standard,,,
ZIP Code 84533,Lake Powell,San Juan,Standard,,,
ZIP Code 84534,Montezuma Creek,San Juan,P.O. Box,,,
ZIP Code 84535,Monticello,San Juan,Standard,,,
ZIP Code 84536,Monument Valley,San Juan,P.O. Box,,,
ZIP Code 84537,Orangeville,Emery,P.O. Box,,,
ZIP Code 84539,Sunnyside,Carbon,P.O. Box,,,
ZIP Code 84540,Thompson,Grand,Standard,,,
ZIP Code 84542,Wellington,Carbon,Standard,,,
ZIP Code 84601,Provo,Utah,Standard,,,
ZIP Code 84602,Provo,Utah,Standard,,,
ZIP Code 84603,Provo,Utah,P.O. Box,,,
ZIP Code 84604,Provo,Utah,Standard,,,
ZIP Code 84605,Provo,Utah,P.O. Box,,,
ZIP Code 84606,Provo,Utah,Standard,,,
ZIP Code 84620,Aurora,Sevier,P.O. Box,,,
ZIP Code 84621,Axtell,Sanpete,Standard,,,
ZIP Code 84622,Centerfield,Sanpete,P.O. Box,,,
ZIP Code 84623,Chester,Sanpete,Standard,,,
ZIP Code 84624,Delta,Millard,Standard,,,
ZIP Code 84626,Elberta,Utah,P.O. Box,,,
ZIP Code 84627,Ephraim,Sanpete,Standard,,,
ZIP Code 84628,Eureka,Juab,P.O. Box,,,
ZIP Code 84629,Fairview,Sanpete,Standard,,,
ZIP Code 84630,Fayette,Sanpete,Standard,,,
ZIP Code 84631,Fillmore,Millard,Standard,,,
ZIP Code 84632,Fountain Green,Sanpete,P.O. Box,,,
ZIP Code 84633,Goshen,Utah,P.O. Box,,,
ZIP Code 84634,Gunnison,Sanpete,P.O. Box,,,
ZIP Code 84635,Hinckley,Millard,Standard,,,
ZIP Code 84636,Holden,Millard,P.O. Box,,,
ZIP Code 84637,Kanosh,Millard,P.O. Box,,,
ZIP Code 84638,Leamington,Millard,P.O. Box,,,
ZIP Code 84639,Levan,Juab,P.O. Box,,,
ZIP Code 84640,Lynndyl,Millard,P.O. Box,,,
ZIP Code 84642,Manti,Sanpete,Standard,,,
ZIP Code 84643,Mayfield,Sanpete,P.O. Box,,,
ZIP Code 84644,Meadow,Millard,P.O. Box,,,
ZIP Code 84645,Mona,Juab,Standard,,,
ZIP Code 84646,Moroni,Sanpete,P.O. Box,,,
ZIP Code 84647,Mount Pleasant,Sanpete,Standard,,,
ZIP Code 84648,Nephi,Juab,Standard,,,
ZIP Code 84649,Oak City,Millard,P.O. Box,,,
ZIP Code 84651,Payson,Utah,Standard,,,
ZIP Code 84652,Redmond,Sevier,P.O. Box,,,
ZIP Code 84653,Salem,Utah,Standard,,,
ZIP Code 84654,Salina,Sevier,Standard,,,
ZIP Code 84655,Santaquin,Utah,Standard,,,
ZIP Code 84656,Scipio,Millard,P.O. Box,,,
ZIP Code 84657,Sigurd,Sevier,P.O. Box,,,
ZIP Code 84660,Spanish Fork,Utah,Standard,,,
ZIP Code 84662,Spring City,Sanpete,P.O. Box,,,
ZIP Code 84663,Springville,Utah,Standard,,,
ZIP Code 84664,Mapleton,Utah,Standard,,,
ZIP Code 84665,Sterling,Sanpete,P.O. Box,,,
ZIP Code 84667,Wales,Sanpete,Standard,,,
ZIP Code 84701,Richfield,Sevier,Standard,,,
ZIP Code 84710,Alton,Kane,P.O. Box,,,
ZIP Code 84711,Annabella,Sevier,P.O. Box,,,
ZIP Code 84712,Antimony,Garfield,Standard,,,
ZIP Code 84713,Beaver,Beaver,Standard,,,
ZIP Code 84714,Beryl,Iron,Standard,,,
ZIP Code 84715,Bicknell,Wayne,P.O. Box,,,
ZIP Code 84716,Boulder,Garfield,P.O. Box,,,
ZIP Code 84718,Cannonville,Garfield,P.O. Box,,,
ZIP Code 84719,Brian Head,Iron,P.O. Box,,,
ZIP Code 84720,Cedar City,Iron,Standard,,,
ZIP Code 84721,Cedar City,Iron,Standard,,,
ZIP Code 84722,Central,Washington,Standard,,,
ZIP Code 84723,Circleville,Piute,P.O. Box,,,
ZIP Code 84724,Elsinore,Sevier,Standard,,,
ZIP Code 84725,Enterprise,Washington,P.O. Box,,,
ZIP Code 84726,Escalante,Garfield,P.O. Box,,,
ZIP Code 84728,Garrison,Millard,Standard,,,
ZIP Code 84729,Glendale,Kane,P.O. Box,,,
ZIP Code 84730,Glenwood,Sevier,P.O. Box,,,
ZIP Code 84731,Greenville,Beaver,Standard,,,
ZIP Code 84732,Greenwich,Piute,Standard,,,
ZIP Code 84733,Gunlock,Washington,Standard,,,
ZIP Code 84734,Hanksville,Wayne,P.O. Box,,,
ZIP Code 84735,Hatch,Garfield,P.O. Box,,,
ZIP Code 84736,Henrieville,Garfield,P.O. Box,,,
ZIP Code 84737,Hurricane,Washington,Standard,,,
ZIP Code 84738,Ivins,Washington,Standard,,,
ZIP Code 84739,Joseph,Sevier,Standard,,,
ZIP Code 84740,Junction,Piute,P.O. Box,,,
ZIP Code 84741,Kanab,Kane,Standard,,,
ZIP Code 84742,Kanarraville,Iron,Standard,,,
ZIP Code 84743,Kingston,Piute,Standard,,,
ZIP Code 84744,Koosharem,Sevier,Standard,,,
ZIP Code 84745,La Verkin,Washington,Standard,,,
ZIP Code 84746,Leeds,Washington,P.O. Box,,,
ZIP Code 84747,Loa,Wayne,Standard,,,
ZIP Code 84749,Lyman,Wayne,P.O. Box,,,
ZIP Code 84750,Marysvale,Piute,P.O. Box,,,
ZIP Code 84751,Milford,Beaver,Standard,,,
ZIP Code 84752,Minersville,Beaver,P.O. Box,,,
